datetime,open,high,low,close,volume,log_returns
2025-01-21,600.66998,603.059998,598.67999,603.049988,35470766,0.0
2025-01-17,596.96002,599.35999,595.60999,597.58002,58026200,-0.009111892605656162
2025-01-16,594.16998,594.34998,590.92999,591.64001,43319700,-0.009989840819408747
2025-01-15,590.33002,593.94000,589.20001,592.78003,56900200,0.0019250271247530108
2025-01-14,584.35999,585,578.34998,582.19000,48420600,-0.018026530894182706
2025-01-13,575.77002,581.75,575.34998,581.39001,47910100,-0.0013750496212964044
2025-01-10,585.88000,585.95001,578.54999,580.48999,73105000,-0.0015492480807254298
2025-01-08,588.70001,590.58002,585.20001,589.48999,47304700,0.01538518210742554
2025-01-07,597.41998,597.75,586.78003,588.63000,60393100,-0.0014599364411933026
2025-01-06,596.27002,599.70001,593.59998,595.35999,47679400,0.011368444901632375
2025-01-03,587.53003,592.59998,586.42999,591.95001,37888500,-0.005744059050788447
2025-01-02,589.39001,591.13000,580.5,584.64001,50204000,-0.012425898456779225
2024-12-31,589.90997,590.64001,584.41998,586.080017,57052700,0.002460037742598078
2024-12-30,587.89001,591.73999,584.40997,588.21997,56578800,0.003644648543850667
2024-12-27,597.53998,597.78003,590.76001,595.010010,64969300,0.011477252352894114
2024-12-26,599.5,602.47998,598.080017,601.34003,41219100,0.01058231932255915
2024-12-24,596.059998,601.34003,595.46997,601.29999,33160100,-6.658684119756351e-05
2024-12-23,590.89001,595.29999,587.65997,594.69000,57635800,-0.011053700044659862
2024-12-22,590.89001,595.29999,587.66101,594.69000,57635828,0.0
2024-12-20,581.77002,595.75,580.90997,591.15002,125716700,-0.00597043522874679
2024-12-19,591.35999,593,585.84998,586.099976,85919500,-0.008579443607743485
2024-12-18,603.97998,606.40997,585.89001,586.28003,108248700,0.0003071597954489454
2024-12-17,604.19000,605.16998,602.89001,604.28998,55773500,0.030256639732561794
2024-12-16,604.19000,605.16998,602.88501,604.28998,55773544,0.0
2024-12-13,606.40002,607.13000,602.81000,604.21002,35904700,-0.00013232933407810945
2024-12-12,606.58002,607.15997,604.33002,604.33002,31543800,0.00019858671855740344
2024-12-11,605.78003,608.42999,605.5,607.46002,28677700,0.005165922903266857
2024-12-10,605.37000,605.79999,602.13000,602.79999,37234500,-0.007700912186405854
2024-12-09,607.69000,607.85999,604.080017,604.67999,34742700,0.0031139257797438953
2024-12-06,607.44000,609.070007,607.020020,607.81000,31241500,0.00516295718503303
2024-12-05,607.65997,608.47998,606.29999,606.65997,28762200,-0.0018938802475983348
2024-12-04,605.63000,607.90997,604.95001,607.65997,42787600,0.001647012773345794
2024-12-03,603.39001,604.15997,602.34003,603.90997,26906600,-0.0061903351201832305
2024-12-02,602.96997,604.32001,602.46997,603.63000,31746000,-0.0004637030855659889
2024-11-29,599.65997,603.34998,599.38000,602.54999,30177400,-0.0017907945705975567
2024-11-27,600.46002,600.84998,597.28003,598.83002,34000200,-0.0061928479879068505
2024-11-26,598.79999,601.33002,598.070007,600.65002,45621300,0.0030346505752842875
2024-11-25,599.52002,600.85999,595.20001,597.53003,42441400,-0.00520789350771529
2024-11-22,593.65997,596.15002,593.15002,595.51001,38226400,-0.003386343898989094
2024-11-21,593.40002,595.12000,587.45001,593.66998,46750300,-0.0030946223177688564
2024-11-20,590.38000,590.78998,584.63000,590.5,50032600,-0.005353940102754812
2024-11-19,584.71002,591.039978,584.030029,590.29999,49412000,-0.0003387703313121663
2024-11-18,586.21997,589.48999,585.34003,588.15002,37084100,-0.003648813894724199
2024-11-15,589.71997,590.20001,583.85999,585.75,75988800,-0.004088974023475538
2024-11-14,597.32001,597.81000,592.65002,593.34998,38904100,0.012891333016324159
2024-11-13,597.37000,599.22998,594.96002,597.19000,47388600,0.006450910311501285
2024-11-12,598.67999,599.28998,594.37000,596.90002,43006100,-0.0004856920346766905
2024-11-11,599.81000,600.16998,597,598.76001,37586800,0.003111238067163661
2024-11-08,596.16998,599.64001,596.16998,598.19000,46444900,-0.0009524375092150408
